taxonID	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
33323	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingopyxis;s_Sphingopyxis sp001830555
33716	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_UBA1381;f_UBA1381;g_CAG-41;s_CAG-41 sp001941225
33724	0	0	208	208	57	248	111	0	149	0	0	0	0	182	0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Cellulosilyticaceae;g_Epulopiscium B;s_Epulopiscium B sp001983555
33925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	d_Bacteria;p_Firmicutes;c_Bacilli;o_Erysipelotrichales;f_Erysipelotrichaceae;g_Erysipelothrix;s_Erysipelothrix sp002359085
34012	826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Archaea;p_Thermoplasmatota;c_Poseidoniia;o_Poseidoniales;f_Poseidoniaceae;g_MGIIa-K2;s_MGIIa-K2 sp002719395
34053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas;s_Stenotrophomonas maltophilia AB
34531	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	d_Archaea;p_Thermoplasmatota;c_E2;o_DHVEG-1;f_DHVEG-1;g_SM1-50;s_SM1-50 sp002496355
34593	0	0	0	0	0	0	0	0	0	0	0	160	0	0	88	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas;s_Stenotrophomonas maltophilia AD
34597	0	0	0	0	0	0	0	0	0	0	0	787	0	0	338	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Brevundimonas;s_Brevundimonas sp002386585
34624	0	0	0	0	0	0	0	31	0	0	0	15	0	0	27	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Methyloligellaceae;g_Methyloceanibacter;s_Methyloceanibacter sp002390155
34829	0	0	0	0	0	0	0	0	0	0	0	986	0	0	0	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingopyxis;s_Sphingopyxis sp002842935
34861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Tissierellales;f_Sedimentibacteraceae;g_Sedimentibacter;s_Sedimentibacter sp002399975
35028	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	d_Bacteria;p_Armatimonadota;c_UBA10988;o_UBA10988;f_UBA10988;g_UBA10988;s_UBA10988 sp002409445
35243	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	d_Bacteria;p_Bdellovibrionota;c_Bacteriovoracia;o_Bacteriovoracales;f_Bacteriovoracaceae;g_Bacteriovorax;s_Bacteriovorax sp002428265
35293	646	19	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes sp002428825
35362	0	0	0	0	0	0	0	0	0	0	0	80	0	0	181	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas;s_Stenotrophomonas maltophilia AC
35505	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingopyxis;s_Sphingopyxis sp002454115
35513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Pseudoduganella;s_Pseudoduganella sp002454505
35514	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Weeksellaceae;g_Kaistella;s_Kaistella sp002454815
35605	120	0	0	0	0	0	0	31	0	0	18	82	122	0	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Weeksellaceae;g_Kaistella;s_Kaistella sp002477665
35689	39	0	0	0	0	0	0	0	0	0	0	0	275	0	0	d_Bacteria;p_Cyanobacteria;c_Sericytochromatia;o_UBA7694;f_UBA7694;g_UBA7694;s_UBA7694 sp002482705
35842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Tissierellales;f_Sedimentibacteraceae;g_Sedimentibacter;s_Sedimentibacter sp002331025
35852	182	0	0	0	0	0	0	0	0	141	281	557	1236	0	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Diaphorobacter A;s_Diaphorobacter A sp002331385
36136	38	0	355	718	194	1515	232	0	867	0	0	0	0	1409	31	d_Bacteria;p_SAR324;c_SAR324;o_SAR324;f_NAC60-12;g_Arctic96AD-7;s_Arctic96AD-7 sp002685535
